# Angle (degree),[EMIM][EtSO4],,[BMIM][PF6],,[HMIM][PF6],
0.9,0,0.003194034,0.006994066,0.010098634,0.004507336,0.009951245
2.7,0,0.009303713,0.000686881,0.009846449,0.006124883,0.009755329
4.5,0,0.004424905,0.001301093,0.009363982,0.005988373,0.009517726
6.3,0,0.008167754,0.004069784,0.009536957,0.007027681,0.008316879
8.1,0,0.007358449,0.002704702,0.009354517,0.004790829,0.009013156
9.9,0,0.009063943,0.002360036,0.009584739,0.003999535,0.009654803
11.7,0,0.006528689,0.002350186,0.009612419,0.002464139,0.00969999
13.5,0,0.010384633,0.002405877,0.00984344,0.004860292,0.009709759
15.3,0,0.008934552,0.002519294,0.009203729,0.006816168,0.009371487
17.1,0,0.007773927,0.003565289,0.010336838,0.004483161,0.009469046
18.9,0,0.008160791,0.002837905,0.009416393,0.006039792,0.009119125
20.7,0,0.00830315,0.005415667,0.009435376,0.008378345,0.009329339
22.5,0,0.007825219,0.005327642,0.009460358,0.009029119,0.009723395
24.3,0,0.007569513,0.005649486,0.009855465,0.008258007,0.009786441
26.1,0,0.008770776,0.005769573,0.009461558,0.008482942,0.009615488
27.9,0,0.011810317,0.005707842,0.009407976,0.008321752,0.009777699
29.7,0,0.009830556,0.004720863,0.009629389,0.00976527,0.009289252
31.5,0,0.007988548,0.005075527,0.009316344,0.010803868,0.009567852
33.3,0,0.008704967,0.005393747,0.009727241,0.010935426,0.009670969
35.1,0,0.010658334,0.006865322,0.009365782,0.012795037,0.009702453
36.9,0,0.010636363,0.007764438,0.009681234,0.011383247,0.009909248
38.7,0,0.009323959,0.007295998,0.009508193,0.012184831,0.009697972
40.5,0,0.007673249,0.005644862,0.009903375,0.013509596,0.009473092
42.3,0,0.008344589,0.006624514,0.009742856,0.012173934,0.009803021
44.1,0,0.009332943,0.009256385,0.009827396,0.010723718,0.009955366
45.9,0,0.00814227,0.007314691,0.009630826,0.011734499,0.009875746
47.7,0,0.009274109,0.007390495,0.009554933,0.009783599,0.009965347
49.5,0,0.007798451,0.009108612,0.009524717,0.011243182,0.00982124
51.3,0,0.007773177,0.009241813,0.009489541,0.01044929,0.010058335
53.1,0,0.009065633,0.010724651,0.009412099,0.009666377,0.010093636
54.9,0,0.011079375,0.009794394,0.009781624,0.010020034,0.010024864
56.7,0,0.010073097,0.008640917,0.00945151,0.010248901,0.009739779
58.5,0.000114279,0.008884159,0.009460003,0.009535892,0.009050492,0.009972402
60.3,0.000154742,0.008334407,0.010309353,0.009852233,0.009533662,0.010110131
62.1,6.64E-05,0.007416762,0.012537874,0.009873724,0.011410352,0.01034994
63.9,8.07E-05,0.00859766,0.011110605,0.009812626,0.011479255,0.010271545
65.7,0.000250843,0.010594828,0.011518004,0.010002283,0.010369838,0.009909039
67.5,0.000617545,0.009326345,0.013837803,0.009848168,0.011251405,0.009939815
69.3,0.000573416,0.010937022,0.015223378,0.009906161,0.013020328,0.010345435
71.1,0.0010671,0.010027938,0.014213204,0.00986626,0.013163601,0.010077358
72.9,0.001372351,0.009379594,0.014677953,0.009732332,0.014247551,0.010028705
74.7,0.001528462,0.010914392,0.015637907,0.009746484,0.013830266,0.010257185
76.5,0.001849108,0.011717571,0.01637631,0.010051754,0.015319506,0.010144348
78.3,0.002786937,0.010012679,0.017073767,0.009787017,0.01388413,0.010225545
80.1,0.003616602,0.009740843,0.017223362,0.0099734,0.014984263,0.010158464
81.9,0.003733281,0.009458372,0.016687136,0.010067975,0.014153904,0.010074275
83.7,0.004709651,0.008680116,0.015758809,0.010071188,0.014718328,0.01006187
85.5,0.005306591,0.010901312,0.017294711,0.010055605,0.013216125,0.010364536
87.3,0.006074058,0.008715304,0.017864963,0.00988294,0.012850274,0.010120303
89.1,0.005765682,0.00981478,0.018625558,0.010232301,0.013498566,0.010129879
90.9,0.006073231,0.00971663,0.017477614,0.01002277,0.013749514,0.01031691
92.7,0.006166062,0.009963373,0.014759062,0.010051399,0.012123919,0.010042884
94.5,0.00465566,0.009018905,0.014150686,0.010076362,0.011929495,0.010191013
96.3,0.005694856,0.011084854,0.013886556,0.010347748,0.011493505,0.010439662
98.1,0.005760531,0.011304469,0.014936755,0.010281035,0.01284087,0.01019658
99.9,0.005325879,0.009797924,0.013669036,0.010226745,0.013313984,0.010306349
101.7,0.006607413,0.010313725,0.012622809,0.010323419,0.010922251,0.010080876
103.5,0.006986066,0.010216857,0.013931372,0.010530146,0.009967315,0.010465888
105.3,0.006690342,0.009877011,0.012118441,0.010619533,0.009281588,0.010387598
107.1,0.006746525,0.012066189,0.009911142,0.010406899,0.009203087,0.010289443
108.9,0.010229319,0.012027689,0.010813551,0.010347953,0.009458581,0.010038682
110.7,0.01022366,0.011342474,0.010358111,0.010332404,0.008512698,0.009887412
112.5,0.012403855,0.009751405,0.011255775,0.010522121,0.009554912,0.010385661
114.3,0.014111829,0.012311054,0.011380955,0.010136139,0.009116603,0.010301642
116.1,0.020278039,0.012709821,0.011800919,0.009876872,0.00951021,0.010142833
117.9,0.025313722,0.010583573,0.009492936,0.01015819,0.009100099,0.010042043
119.7,0.027569984,0.011753536,0.009037032,0.009957505,0.009711307,0.010115846
121.5,0.036466405,0.010562442,0.010589127,0.010080397,0.009387292,0.010141293
123.3,0.042069132,0.009961279,0.010218785,0.010161541,0.008070085,0.010195309
125.1,0.047762089,0.010360404,0.008177635,0.009982536,0.010513457,0.0104371
126.9,0.048754363,0.009542735,0.01031458,0.009830924,0.00850884,0.010072409
128.7,0.059337412,0.011868618,0.01112915,0.009476782,0.008595436,0.010319001
