Distance [pm],gr-e0-emim-etso4-h1-o2,gr-e2-emim-etso4-h1-o2,gr-e0-bmim-pf6-h1-f1,gr-e2-bmim-pf6-h1-f1,gr-e0-hmim-pf6-h1-f1,gr-e2-hmim-pf6-h1-f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.184175382,2.599423435,2.271635104,3.474695884,2.994441526,2.661280513,2.830395641,2.434268228,2.244891879,3.096211415,1.990200351,1.68839649
6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDF,1.22495448,1.401710766,,1.160381946,1.305648115,,1.162729566,1.260816019,,1.555728504,1.833817728
10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 V/angstrom,,1.1271,,,1.2464,,,1.1721,,,
14,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2V/angstrom,1.401710766,1.305648115,1.260816019,,,,,,,,
22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.22495448,1.160381946,1.162729566,,,,,,,,
26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
