atom,x,y,z
O, 6.21683, 7.03257, 0.40773
O, 6.84283, 7.54587, 1.48773
O,-6.01440,-5.66763, 4.08773
O,-5.11417,-6.60963, 4.00773
O,-2.07017, 3.06927,-5.68227
O,-0.99517, 2.61737,-5.02227
O,-8.36947, 5.30817, 2.38773
O,-9.12587, 4.88877, 3.39773
O, 2.81063,-9.00916,-0.68227
O, 3.72763,-9.18929, 0.21773
O, 8.11226, 3.02037, 8.97773
O, 7.49599, 2.43437,10.00773
O,-8.58617,-1.08673,-3.07227
O,-8.60777,-1.09593,-1.74227
O,10.27883,-2.63883,-5.72227
O,10.76183,-3.62623,-4.95227
O,-2.69066, 4.88047,11.12773
O,-3.58583, 4.34917,11.91773
O,-5.16097,-2.43953, 9.60773
O,-4.52457,-3.51713, 9.93773
O,-1.95647,-6.71463,-6.94227
O,-1.98077,-7.69983,-6.06227
O, 3.85583,-0.26407,12.66773
O, 5.11383,-0.33115,13.07773
O, 1.56183, 9.27477,-9.50227
O, 0.93583, 9.46597,-8.35227
O, 1.64753,13.41547, 4.19773
O, 2.79433,13.82957, 4.74773
O,10.84683,-4.16163, 0.40773
O, 9.57583,-4.11963, 0.68773
O,-11.93547, 3.60917,-1.85227
O,-11.58637, 3.05697,-0.73227
O,-0.16347,-10.36933,13.21773
O,-1.10437,-11.32043,13.22773
O,12.91723,-7.35853, 5.91773
O,13.31653,-8.09883, 6.98773
O, 6.53983,-11.55463,-7.60227
O, 5.71183,-11.42913,-6.59227
O,-3.61717,12.54177, 7.17773
O,-3.73617,13.74647, 7.72773
O,-8.87117,11.95291,-2.60227
O,-8.91717,13.02930,-1.80227
O, 9.42493, 8.88977,-5.53227
O, 9.48843,10.06707,-4.88227
O,11.76843,-11.06533,-2.79227
O,11.34543,-11.28773,-1.55227
O, 5.88983,-9.16754, 9.22773
O, 6.04763,-8.38723, 8.20773
O,-12.04037, 9.19837, 6.74773
O,-11.63687, 8.53237, 7.83773
O,-10.61997, 2.75937,14.90773
O,-9.99967, 2.11637,15.85773
O,-13.46217,-6.69085,13.24773
O,-14.78717,-6.86718,13.27773
O,-8.45277,-9.28713,-9.27227
O,-8.13577,-8.05493,-9.66227
O,-6.30817, 8.56827,-11.80227
O,-6.58017, 8.35437,-10.54227
O,12.03573,10.51137,11.27773
O,12.06843,10.45837,12.57773
O, 2.13377, 0.01513,-1.27146
O, 2.57177,-1.16087,-0.88146
O,-0.91203, 5.18253, 6.17854
O,-1.07983, 4.49713, 7.36854
O, 1.04907, 0.40403, 7.12854
O, 1.36867, 0.74603, 8.33854
O,-6.82823,-2.49861, 5.36854
O,-7.58223,-1.49037, 5.06854
O,-4.50763,-2.68097,-3.45146
O,-4.12193,-2.69557,-2.24146
O, 2.49347,-8.51407, 0.46854
O, 1.37177,-8.60357, 1.21854
O,-5.89253, 1.67593,-2.99146
O,-4.87593, 2.34283,-2.41146
O, 1.66348, 5.14003,-5.70146
O, 2.56713, 4.36203,-5.08146
O,-0.58923,-2.50292,-10.68146
O,-0.77023,-2.46780,-9.39146
O, 4.62112, 9.12579,-1.28146
O, 5.09679, 8.05666,-0.74146
O, 9.84357,-6.41897, 1.35854
O, 8.79517,-6.91187, 2.02854
O,-3.74323, 7.31123,-3.77146
O,-3.26723, 8.52663,-3.64146
O, 9.15517,-5.04817, 8.46854
O, 8.96997,-6.09777, 9.14854
O,-4.47343,-8.65587, 2.81854
O,-3.44613,-8.47837, 3.61854
O,-4.80493, 0.80303,12.27854
O,-5.00383, 1.39303,13.32854
O, 0.43727,-7.70197,-5.92146
O, 0.93687,-7.32597,-4.86146
O,-3.60105,10.17503, 3.44854
O,-2.89801,10.94103, 2.56854
O,10.64477,-1.40197,-3.24146
O,11.54177,-0.58177,-2.71146
O,-9.78033, 8.22423, 6.17854
O,-8.96693, 9.00603, 6.92854
O, 4.12777,-5.67427,11.06854
O, 4.76377,-5.41337,12.16854
O, 3.61827,10.71723, 9.25854
O, 4.20257,10.06723,10.21854
O,11.07077, 5.33103, 3.25854
O,10.08677, 5.45803, 4.09854
O,-3.33823,-9.91487,10.08854
O,-4.45923,-9.69307, 9.42854
O,-7.09493,-7.90617,-4.72146
O,-7.46793,-6.80847,-4.09146
O,-2.58983, 8.78223,10.99854
O,-1.61723, 9.67813,11.04854
O, 5.40287, 2.03355,-10.74146
O, 5.15247, 2.24306,-9.46146
O,-12.56473,-0.44746, 9.94854
O,-12.12093, 0.75374, 9.65854
O,-10.91723,-10.21857, 7.30854
O,-10.09023,-10.79507, 8.21854
O,-12.86533, 2.28933,-8.63146
O,-13.63153, 2.46963,-7.56146
O, 7.84937,11.93363, 4.56854
O, 8.55767,12.48603, 5.47854
O,-11.68923,-8.33197,-4.38146
O,-11.12723,-8.20587,-3.19146
O, 7.74767, 6.24343,14.24854
O, 6.61397, 6.10483,14.85854
O,-11.00279,10.33033,-3.68146
O,-9.96691, 9.69533,-3.28146
O,-7.25123,-5.93917,-12.74146
O,-7.17923,-5.65677,-14.00146
O, 4.48022,-11.13507,-8.98146
O, 5.17201,-12.03467,-8.33146
O, 9.13187,-9.34097,-7.22146
O, 8.65877,-9.37477,-5.98146
O,-11.38123, 7.91572,13.33854
O,-11.57903, 7.02419,14.24854
O, 1.31515, 1.09507, 2.10208
O, 0.97225, 2.33440, 2.06208
O, 5.75605, 0.22268,-3.54792
O, 6.10625, 0.61828,-2.35792
O,-0.08455,-9.63812, 0.12208
O, 1.12355,-9.91032,-0.31792
O,-2.72708,-6.10962, 7.60208
O,-2.81783,-6.00732, 8.94208
O, 3.52855, 6.83198,-4.80792
O, 3.99085, 8.05588,-4.96792
O,-4.62515, 0.87908,-3.76792
O,-4.67165, 2.21908,-3.59792
O,-7.19885,-0.70372, 3.85208
O,-6.13995,-1.23382, 4.39208
O,-0.79305, 4.04388, 9.58208
O,-0.48035, 2.91248,10.14208
O,-7.01135, 8.56508, 3.14208
O,-6.55745, 9.30408, 4.09208
O, 6.61095, 5.09290, 0.66208
O, 5.86905, 5.87543, 1.48208
O, 8.06025,-1.59312, 4.48208
O, 7.67335,-2.66232, 5.09208
O, 1.00325, 8.53588,-1.25792
O, 2.26125, 8.83558,-1.03792
O, 8.44055, 3.95218, 7.62208
O, 8.68205, 3.00218, 6.80208
O, 0.68725,-5.85892,-8.55792
O, 1.38965,-5.97162,-7.44792
O, 4.46425,-2.13192,11.88208
O, 4.44525,-1.08592,12.67208
O,-7.55545, 4.16448,-8.93792
O,-6.32405, 4.58358,-9.08792
O, 1.37565,-9.45892, 3.72208
O, 1.89345,-8.35892, 3.28208
O,-7.42175, 0.20608,11.03208
O,-6.79275,-0.49392,11.99208
O,-7.82805,-9.73542, 3.92208
O,-8.27495,-8.54662, 4.18208
O,-9.52155, 8.67068, 6.14208
O,-8.82475, 8.62668, 7.24208
O, 6.82725,-7.86022,-3.25792
O, 6.69225,-8.92572,-2.44792
O, 3.99895, 6.75158,12.31208
O, 3.57665, 7.22488,13.45208
O,-2.39224, 1.25008,-10.82792
O,-1.15472, 1.45308,-10.46792
O,-12.64525,-5.41262,-2.24792
O,-12.57225,-4.18152,-2.71792
O,10.61025,-4.84984, 9.00208
O,10.25225,-3.94025, 9.90208
O,-6.16675,-7.43282,-9.33792
O,-5.50675,-7.37422,-8.22792
O,-5.74175,-11.14942, 9.60208
O,-6.26375,-10.03722, 9.22208
O,12.83325, 7.30758,-3.00792
O,13.42745, 7.10738,-1.86792
O,-5.09375,10.58518,-6.67792
O,-5.41975,11.31488,-5.63792
O, 8.83865,-10.21892, 8.12208
O, 9.13795,-10.61862, 9.34208
O,12.79595, 9.27308, 9.01208
O,12.28125, 8.88838,10.12208
O, 9.41565, 0.84733,-10.16792
O, 8.26665, 1.31047,-9.77792
O,-12.74485,11.57818,-1.36792
O,-13.89665,12.03208,-0.94792
O,-12.63175,-4.53122,-8.52792
O,-12.23275,-4.85252,-7.32792
O, 0.77425,12.79598,-9.19792
O, 2.08825,12.53528,-8.99792
O, 6.37885,-11.37512,14.23208
O, 7.44775,-11.82032,14.87208
O,11.57725,11.10638,-8.56792
O,10.49625,11.09338,-7.74792
O, 2.08132,-0.14610, 1.06500
O, 2.54532,-0.17310, 2.30500
O,-3.20268,-4.94240, 0.39500
O,-2.71768,-5.61320, 1.44500
O, 1.85076, 3.31980,-3.36500
O, 0.62622, 3.33080,-2.84500
O,-4.12318, 4.67421, 4.18500
O,-4.34578, 5.78363, 4.88500
O, 4.27732,-4.23110,-5.00500
O, 4.65632,-2.94760,-5.15500
O, 4.27632, 8.36630, 2.20500
