atom,x,y,z
O,-9.27204,-8.02984, 7.84456
O,-10.91284,-6.40714,-3.82544
O,-9.28164,-8.04094,-4.91544
O,-13.61376,-6.53334, 0.13456
O,-11.89557,-4.51934,-0.34544
O, 4.62646,10.60746,-5.89544
O, 5.95996,10.70196,-8.05544
O,-0.50503, 9.84976,-8.52544
O,-1.24749, 8.89836,-10.95544
O, 9.24766, 6.56406,-7.16544
O, 8.51366, 6.09316,-9.69544
O,-7.03134,10.59716, 9.69456
O,-5.83964, 8.15516, 9.37456
O,-10.09164,10.32216, 5.47456
O,-10.61494,11.92126, 3.30456
O,-8.46954, 2.09396,-10.61544
O,-8.05884, 2.87366,-13.04544
O, 1.76566,11.87710,12.04456
O, 1.88466,11.65158, 9.60456
O,11.29570,-3.97704,-10.58544
O,10.16836,-2.98234,-12.72544
O,11.33916,12.28856, 0.52456
O,10.00966,10.71506,-1.33544
O,10.42936,11.41046, 9.29456
O, 8.40856,10.94136, 7.72456
O,-13.11324,11.08826,-5.95544
O,-11.58984,10.15876,-8.00544
O,-12.17634, 9.59986,13.29456
O,-11.60434, 8.91006,10.64456
O,11.56016,-8.15344,-10.79544
O,10.72826,-8.94054,-13.08544
O, 0.45434,-0.78248, 1.41999
O,-0.21226, 0.19342,-0.76001
O,-4.47626,-0.75838,-3.24001
O,-3.39526, 0.12502,-5.56001
O, 1.78684,-6.24148, 5.33999
O, 2.04434,-4.57988, 3.16999
O, 7.92554,-1.51518,-1.50001
O, 5.37544,-1.80588,-2.22001
O, 3.45514,-0.39718,-5.15001
O, 4.18274, 1.55412,-6.80001
O, 7.61054, 0.48542, 4.49999
O, 7.45504, 2.13322, 2.66999
O, 0.92574, 4.75172, 8.33999
O, 0.23174, 3.02532, 6.28999
O,-5.87706,-6.51428,-0.64001
O,-4.60826,-4.59368,-2.17001
O, 2.73444,-0.49248,10.01999
O, 4.69394,-1.88178, 9.09999
O, 1.24044, 8.53202, 1.00999
O, 0.81394, 8.77712,-1.62001
O,-6.84226,-1.69118, 7.61999
O,-4.66746,-1.01658, 6.19999
O,-9.31736, 1.10182, 3.27999
O,-8.27316, 0.88872, 0.76999
O,-2.95792, 7.68752,-2.93001
O,-3.06055, 7.87952,-5.52001
O,-1.28696, 0.21752,-8.11001
O,-0.66266,-0.57448,-10.61001
O, 7.15774, 7.07322, 2.21999
O, 7.61974, 7.00312,-0.57001
O, 3.30814,-9.76477,-2.33001
O, 3.90664,-9.15949,-4.69001
O, 2.29424,-10.09598, 4.93999
O, 1.45334,-11.15378, 2.59999
O,10.79064,-3.31478,-0.29001
O,12.35654,-3.10828,-2.40001
O,-6.72036,-2.31278,-7.41001
O,-7.89266,-4.30798,-8.78001
O, 0.77674,-9.84789, 8.49999
O,-1.43626,-8.46972, 7.34999
O,-6.17969, 7.91262, 6.55999
O,-7.58577, 6.55722, 4.81999
O,-6.24226,10.26686, 1.91999
O,-5.23026, 8.76455, 0.05999
O, 8.10104,-9.65548, 3.42999
O, 7.74164,-10.38448, 0.84999
O, 3.56196,-7.14838,-8.43001
O, 5.22770,-5.41188,-9.76001
O, 4.62814, 8.70632, 9.19999
O, 5.84464, 7.92712, 6.97999
O,-7.97166,-9.87188, 1.73999
O,-7.72796,-10.90368,-0.78001
O, 0.92254, 6.61082,-8.56001
O, 1.42514, 6.23712,-11.22001
O,-1.59686, 8.59142,10.04999
O,-0.43216, 9.34672, 7.83999
O,-13.68326, 2.12372,-4.15001
O,-11.48326, 2.20242,-5.48001
O,10.79799, 1.41152, 9.50999
O,10.64474, 2.16652, 7.07999
O,13.90884,-4.35548, 5.37999
O,12.14014,-3.01658, 3.92999
O, 6.67084,-9.23058, 9.42999
O, 4.87844,-11.27288, 8.79999
O,-2.96606,-8.97348,-9.04001
O,-1.81326,-8.96548,-11.36001
O, 7.00754, 9.06852,-6.16001
O, 5.26874,10.67302,-7.41001
O, 9.98154, 0.08948,-8.88001
O, 9.76234, 1.07942,-11.43001
O, 9.53704, 6.15852,-6.58001
O, 9.85414, 6.36852,-9.24001
O,12.15864, 7.33352,-0.29001
O,12.67814, 7.73452,-2.78001
O,11.50884,-6.81338, 9.75999
O, 9.82314,-6.47188, 7.84999
O,-10.13276, 0.00562,12.45999
O,-7.85206, 0.11922,11.02999
O,-10.81326,-9.20848, 7.66999
O,-10.34726,-10.18648, 5.21999
O,-5.40526, 6.40842,-10.62001
O,-5.03996, 5.64162,-13.10001
O,-6.02096,-7.49048,13.39999
O,-6.43326,-5.91148,11.15999
O,-6.56286,-13.90108,-6.66001
O,-5.14786,-11.61718,-7.32001
O,-10.94026, 9.17572, 9.86999
O,-12.90626, 8.83062, 8.10999
O,10.57074,-9.11498,-8.87001
O,10.77874,-9.18028,-11.31001
O,12.76044,-11.89779,-2.88001
O,12.33414,-9.64596,-4.34001
O,-11.44816, 8.77352,-7.36001
O,-10.68776, 9.62452,-9.78001
O,-9.11726,-12.21678,13.40999
O,-8.90276,-12.05758,10.74999
O, 0.12618,-1.52386, 0.84875
O,-0.17572, 0.60744,-0.53125
O,-2.67732,-4.63106, 1.02875
O,-4.14432,-5.17436,-1.12125
O, 6.22098,-3.24836, 3.38875
O, 6.75188,-3.34676, 0.80875
O,-3.65192,-3.55786, 6.66875
O,-3.52692,-2.63786, 4.23875
O, 1.11308, 5.89144,-1.96125
O, 0.77308, 5.44484,-4.63125
O,-3.01912, 3.05704,-5.18125
O,-3.11782, 1.53454,-7.36125
O, 3.88668, 5.16444, 3.82875
O, 3.93468, 5.78764, 1.24875
O, 6.26818,-4.65062,-2.53125
O, 7.64378,-4.16098,-4.61125
O,-0.57192,-8.70480, 1.55875
O,-0.35992,-10.18722,-0.62125
O, 7.05212, 0.36044, 6.89875
O, 6.78293, 1.67604, 4.58875
O,-5.91502, 2.02894, 7.30875
O,-5.86402, 4.02324, 5.47875
O,-4.30072, 6.73094, 4.09875
O,-3.44482, 6.63014, 1.66875
O,-7.54052,-4.96585,-2.41125
O,-8.61322,-3.74017,-4.50125
O,10.15278, 2.34184,-0.52125
O, 8.69888, 2.51184,-2.86125
O,-1.92312, 5.50894, 9.02875
O, 0.30178, 5.71224, 7.45875
O,-1.41662,-7.11886,-7.64125
O,-0.34032,-4.84316,-7.90125
O, 6.64508,-3.94240, 9.59875
O, 4.81408,-2.20756, 8.45875
O,-10.92222, 2.60944, 0.87875
O,-9.39052, 3.01264,-1.18125
O, 4.28208, 3.80554,-8.31125
O, 4.35318, 4.40754,-10.89125
O, 7.39028, 5.49824,-5.31125
O, 7.02318, 7.92064,-6.10125
O,-10.92642,-2.25346, 3.46875
O,-11.37692,-3.98046, 1.47875
O, 6.99038,-11.36126, 1.42875
O, 6.14778,-10.82496,-0.93125
O,-0.51512,-0.50046,-10.38125
O,-1.03782, 0.26454,-12.87125
O,-6.78592,-7.54706, 7.45875
O,-8.20392,-8.77326, 5.59875
O, 3.56958,-4.84346,-9.58125
O, 5.43578,-5.40746,-11.42125
O, 0.08564,-10.97916, 7.60875
O,-1.74806,-12.01156, 5.74875
O, 7.55728,-1.67696,-8.31125
O, 8.97956, 0.65574,-8.68125
O,-7.55912, 0.23814,10.98875
O,-8.58042, 0.19134, 8.70875
O,-3.43582,-7.08486,11.85875
O,-2.10332,-6.67566, 9.84875
O,-9.16492,-1.46576,-7.14125
O,-10.10892,-1.33976,-9.72125
O,-8.26332,-11.62746, 0.10875
O,-7.01242,-11.39446,-2.33125
O, 1.86480,12.18154,-2.60125
